NAME                                    VERSION                                             TYPE                     
npm-registry-fetch                      17.1.0                                              npm                      
npm-user-validate                       2.0.1                                               npm                      
npth                                    1.6-8.el9                                           rpm                      
nss_wrapper-libs                        1.1.13-1.el9                                        rpm                      
ocaml-srpm-macros                       6-6.el9                                             rpm                      
openblas-srpm-macros                    2-11.el9                                            rpm                      
openldap                                2.6.8-4.el9                                         rpm                      
openldap-devel                          2.6.8-4.el9                                         rpm                      
openssh                                 8.7p1-45.el9                                        rpm                      
openssh-clients                         8.7p1-45.el9                                        rpm                      
openssl                                 1:3.2.2-6.el9_5.1                                   rpm                      
openssl-devel                           1:3.2.2-6.el9_5.1                                   rpm                      
openssl-fips-provider                   3.0.7-6.el9_5                                       rpm                      
openssl-fips-provider-so                3.0.7-6.el9_5                                       rpm                      
openssl-libs                            1:3.2.2-6.el9_5.1                                   rpm                      
p-map                                   4.0.0                                               npm                      
p11-kit                                 0.25.3-3.el9_5                                      rpm                      
p11-kit-trust                           0.25.3-3.el9_5                                      rpm                      
package-json-from-dist                  1.0.0                                               npm                      
packaging                               25.0                                                python                   
pacote                                  18.0.6                                              npm                      
pam                                     1.5.1-26.el9_6                                      rpm                      
parse-conflict-json                     3.0.1                                               npm                      
passwd                                  0.80-12.el9                                         rpm                      
patch                                   2.7.6-16.el9                                        rpm                      
path-key                                3.1.1                                               npm                      
path-scurry                             1.11.1                                              npm                      
pcre                                    8.44-4.el9                                          rpm                      
pcre-cpp                                8.44-4.el9                                          rpm                      
pcre-devel                              8.44-4.el9                                          rpm                      
pcre-utf16                              8.44-4.el9                                          rpm                      
pcre-utf32                              8.44-4.el9                                          rpm                      
pcre2                                   10.40-6.el9                                         rpm                      
pcre2-devel                             10.40-6.el9                                         rpm                      
pcre2-syntax                            10.40-6.el9                                         rpm                      
pcre2-utf16                             10.40-6.el9                                         rpm                      
pcre2-utf32                             10.40-6.el9                                         rpm                      
perl-AutoLoader                         0:5.74-481.1.el9_6                                  rpm                      
perl-B                                  0:1.80-481.1.el9_6                                  rpm                      
perl-Carp                               1.50-460.el9                                        rpm                      
perl-Class-Struct                       0:0.66-481.1.el9_6                                  rpm                      
perl-Data-Dumper                        2.174-462.el9                                       rpm                      
perl-Digest                             1.19-4.el9                                          rpm                      
perl-Digest-MD5                         2.58-4.el9                                          rpm                      
perl-DynaLoader                         0:1.47-481.1.el9_6                                  rpm                      
perl-Encode                             4:3.08-462.el9                                      rpm                      
perl-Errno                              0:1.30-481.1.el9_6                                  rpm                      
perl-Error                              1:0.17029-7.el9                                     rpm                      
perl-Exporter                           5.74-461.el9                                        rpm                      
perl-Fcntl                              0:1.13-481.1.el9_6                                  rpm                      
perl-File-Basename                      0:2.85-481.1.el9_6                                  rpm                      
perl-File-Compare                       0:1.100.600-481.1.el9_6                             rpm                      
perl-File-Copy                          0:2.34-481.1.el9_6                                  rpm                      
perl-File-Find                          0:1.37-481.1.el9_6                                  rpm                      
perl-File-Path                          2.18-4.el9                                          rpm                      
perl-File-Temp                          1:0.231.100-4.el9                                   rpm                      
perl-File-stat                          0:1.09-481.1.el9_6                                  rpm                      
perl-FileHandle                         0:2.03-481.1.el9_6                                  rpm                      
perl-Getopt-Long                        1:2.52-4.el9                                        rpm                      
perl-Getopt-Std                         0:1.12-481.1.el9_6                                  rpm                      
perl-Git                                2.47.3-1.el9_6                                      rpm                      
perl-HTTP-Tiny                          0.076-462.el9                                       rpm                      
perl-IO                                 0:1.43-481.1.el9_6                                  rpm                      
perl-IO-Socket-IP                       0.41-5.el9                                          rpm                      
perl-IO-Socket-SSL                      2.073-2.el9                                         rpm                      
perl-IPC-Open3                          0:1.21-481.1.el9_6                                  rpm                      
perl-MIME-Base64                        3.16-4.el9                                          rpm                      
perl-Mozilla-CA                         20200520-6.el9                                      rpm                      
perl-NDBM_File                          0:1.15-481.1.el9_6                                  rpm                      
perl-Net-SSLeay                         1.94-1.el9                                          rpm                      
perl-POSIX                              0:1.94-481.1.el9_6                                  rpm                      
perl-PathTools                          3.78-461.el9                                        rpm                      
perl-Pod-Escapes                        1:1.07-460.el9                                      rpm                      
perl-Pod-Perldoc                        3.28.01-461.el9                                     rpm                      
perl-Pod-Simple                         1:3.42-4.el9                                        rpm                      
perl-Pod-Usage                          4:2.01-4.el9                                        rpm                      
perl-Scalar-List-Utils                  4:1.56-462.el9                                      rpm                      
perl-SelectSaver                        0:1.02-481.1.el9_6                                  rpm                      
perl-Socket                             4:2.031-4.el9                                       rpm                      
perl-Storable                           1:3.21-460.el9                                      rpm                      
perl-Symbol                             0:1.08-481.1.el9_6                                  rpm                      
perl-Term-ANSIColor                     5.01-461.el9                                        rpm                      
perl-Term-Cap                           1.17-460.el9                                        rpm                      
perl-TermReadKey                        2.38-11.el9                                         rpm                      
perl-Text-ParseWords                    3.30-460.el9                                        rpm                      
perl-Text-Tabs+Wrap                     2013.0523-460.el9                                   rpm                      
perl-Thread-Queue                       3.14-460.el9                                        rpm                      
perl-Time-Local                         2:1.300-7.el9                                       rpm                      
